Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
41.37749,64.58526,362.3,0,
41.377372,64.585285,362.2,0.013,
41.377254,64.585309,362,0.027,
41.377136,64.585334,361.6,0.04,
41.377018,64.585359,361.2,0.053,
41.376901,64.585383,360.8,0.066,
41.376783,64.585408,360.4,0.08,-2
41.376665,64.585432,360,0.093,-3
41.376547,64.585457,359.5,0.106,-3
41.376429,64.585482,359.1,0.12,-3
41.376311,64.585506,358.8,0.133,-3
41.376193,64.585531,358.4,0.146,-3
41.376075,64.585556,358.1,0.159,-3
41.375958,64.58558,357.8,0.173,-3
41.37584,64.585605,357.8,0.186,-2
41.375722,64.58563,358.3,0.199,-2
41.375604,64.585654,358.9,0.213,-1
41.375486,64.585679,359.5,0.226,0
41.375368,64.585703,360.2,0.239,1
41.37525,64.585728,360.9,0.252,2
41.375132,64.585753,361.3,0.266,3
41.375014,64.585777,361.5,0.279,3
41.374897,64.585802,361.6,0.292,4
41.374779,64.585827,361.8,0.306,3
41.374661,64.585851,361.9,0.319,3
41.374543,64.585876,362,0.332,2
41.374425,64.585901,361.6,0.345,1
41.374307,64.585925,361.2,0.359,0
41.374189,64.58595,360.8,0.372,0
41.374071,64.585974,360.4,0.385,-1
41.373954,64.585999,360,0.398,-2
41.373836,64.586024,359.6,0.412,-2
41.373718,64.586048,359.2,0.425,-3
41.3736,64.586073,358.8,0.438,-3
41.373482,64.586098,358.4,0.452,-3
41.373364,64.586122,357.9,0.465,-3
41.373246,64.586147,357.5,0.478,-3
41.373128,64.586172,357.1,0.491,-3
41.37301,64.586196,356.7,0.505,-3
41.372893,64.586221,356.3,0.518,-3
41.372775,64.586245,355.8,0.531,-3
41.372657,64.58627,355.3,0.545,-3
41.372539,64.586295,354.8,0.558,-3
41.372421,64.586319,354.6,0.571,-3
41.372303,64.586344,355,0.584,-2
41.372185,64.586369,355.4,0.598,-2
41.372067,64.586393,355.8,0.611,-1
41.37195,64.586418,356.2,0.624,0
41.371832,64.586443,356.6,0.638,1
41.371714,64.586467,357,0.651,2
41.371596,64.586492,357.4,0.664,2
41.371478,64.586516,357.9,0.677,3
41.37136,64.586541,358.5,0.691,3
41.371242,64.586566,359,0.704,3
41.371124,64.58659,359.6,0.717,4
41.371006,64.586615,359.6,0.731,3
41.370889,64.58664,359.4,0.744,3
41.370771,64.586664,359.2,0.757,2
41.370653,64.586689,359,0.77,1
41.370535,64.586714,358.9,0.784,1
41.370417,64.586738,358.8,0.797,0
41.370299,64.586763,358.5,0.81,-1
41.370181,64.586787,358.2,0.824,-1
41.370063,64.586812,357.9,0.837,-2
41.369946,64.586837,357.7,0.85,-2
41.369828,64.586861,357.5,0.863,-2
41.36971,64.586886,357.4,0.877,-1
41.369592,64.586911,357.4,0.89,-1
41.369474,64.586935,357.3,0.903,-1
41.369356,64.58696,357.2,0.917,-1
41.369238,64.586984,357.2,0.93,-1
41.36912,64.587009,357.1,0.943,-1
41.369003,64.587034,357.1,0.956,-1
41.368885,64.587058,357.2,0.97,0
41.368767,64.587083,357.4,0.983,0
41.368649,64.587108,357.5,0.996,0
41.368531,64.587132,357.6,1.01,0
41.368413,64.587157,357.7,1.023,0
41.368295,64.587182,357.7,1.036,0
41.368177,64.587206,357.2,1.049,0
41.368059,64.587231,356.8,1.063,0
41.367942,64.587255,356.3,1.076,-1
41.367824,64.58728,355.9,1.089,-1
41.367706,64.587305,355.4,1.102,-2
41.367588,64.587329,355.1,1.116,-2
41.36747,64.587354,355,1.129,-3
41.367352,64.587379,354.9,1.142,-3
41.367234,64.587403,354.7,1.156,-2
41.367116,64.587428,354.5,1.169,-2
41.366999,64.587453,354.4,1.182,-2
41.366881,64.587477,354.4,1.195,-1
41.366763,64.587502,354.7,1.209,-1
41.366645,64.587526,354.9,1.222,0
41.366527,64.587551,355.1,1.235,0
41.366409,64.587576,355.3,1.249,0
41.366291,64.5876,355.5,1.262,1
41.366173,64.587625,355.8,1.275,1
41.366055,64.58765,356.2,1.288,2
41.365938,64.587674,356.6,1.302,2
41.36582,64.587699,357,1.315,2
41.365702,64.587723,357.4,1.328,2
41.365584,64.587748,357.7,1.342,2
41.365466,64.587773,357.6,1.355,2
41.365348,64.587797,357.4,1.368,2
41.36523,64.587822,357.1,1.381,1
41.365112,64.587847,356.9,1.395,1
41.364995,64.587871,356.5,1.408,0
41.364877,64.587896,356.3,1.421,-1
41.364759,64.58792,357.1,1.435,0
41.364641,64.587945,357.8,1.448,0
41.364523,64.58797,358.6,1.461,1
41.364405,64.587994,359.2,1.474,2
41.364287,64.588019,359.9,1.488,3
41.364169,64.588044,360.2,1.501,3
41.364051,64.588068,359.9,1.514,3
41.363934,64.588093,359.6,1.528,3
41.363816,64.588118,359.4,1.541,2
41.363698,64.588142,359.2,1.554,1
41.36358,64.588167,359,1.567,0
41.363462,64.588191,359,1.581,0
41.363344,64.588216,359,1.594,-1
41.363226,64.588241,359.1,1.607,-1
41.363108,64.588265,359.1,1.621,-1
41.362991,64.58829,359.3,1.634,0
41.362873,64.588315,359.4,1.647,0
41.362755,64.588339,359.4,1.66,0
41.362637,64.588364,359.3,1.674,0
41.362519,64.588388,359.2,1.687,0
41.362401,64.588413,359.1,1.7,0
41.362283,64.588438,359.1,1.713,0
41.362165,64.588462,359,1.727,0
41.362047,64.588487,359,1.74,0
41.36193,64.588512,358.9,1.753,0
41.361812,64.588536,358.9,1.767,0
41.361694,64.588561,358.9,1.78,0
41.361576,64.588585,359,1.793,0
41.361458,64.58861,359,1.806,0
41.36134,64.588635,358.8,1.82,0
41.361222,64.588659,358.6,1.833,0
41.361104,64.588684,358.5,1.846,0
41.360987,64.588709,358.3,1.86,-1
41.360869,64.588733,358.1,1.873,-1
41.360751,64.588758,357.9,1.886,-1
41.360633,64.588782,357.7,1.899,-1
41.360515,64.588807,357.4,1.913,-1
41.360397,64.588832,357.2,1.926,-1
41.360279,64.588856,357,1.939,-2
41.360161,64.588881,356.9,1.953,-2
41.360043,64.588906,356.7,1.966,-1
41.359926,64.58893,356.6,1.979,-1
41.359808,64.588955,356.4,1.992,-1
41.35969,64.588979,356.1,2.006,-1
41.359572,64.589004,355.8,2.019,-1
41.359454,64.589029,355.5,2.032,-2
41.359336,64.589053,355.3,2.046,-2
41.359218,64.589078,355.2,2.059,-2
41.3591,64.589103,355.2,2.072,-1
41.358983,64.589127,355.1,2.085,-1
41.358865,64.589152,355,2.099,-1
41.358747,64.589176,355,2.112,-1
41.358629,64.589201,355,2.125,-1
41.358511,64.589226,355,2.139,-1
41.358393,64.58925,355,2.152,0
41.358275,64.589275,355,2.165,0
41.358157,64.5893,355,2.178,0
41.358039,64.589324,355,2.192,0
41.357922,64.589349,355.1,2.205,0
41.357804,64.589373,355.1,2.218,0
41.357686,64.589398,355.1,2.232,0
41.357568,64.589423,355,2.245,0
41.35745,64.589447,354.9,2.258,0
41.357332,64.589472,354.8,2.271,0
41.357214,64.589497,355.1,2.285,0
41.357096,64.589521,355.4,2.298,0
41.356979,64.589546,355.7,2.311,1
41.356861,64.58957,356.1,2.325,1
41.356743,64.589595,356.6,2.338,1
41.356625,64.58962,357,2.351,2
41.356507,64.589644,357.2,2.364,2
41.356389,64.589669,357.4,2.378,2
41.356271,64.589694,357.6,2.391,2
41.356153,64.589718,357.8,2.404,2
41.356035,64.589743,357.9,2.417,2
41.355918,64.589767,357.9,2.431,2
41.3558,64.589792,357.8,2.444,1
41.355682,64.589817,357.7,2.457,1
41.355564,64.589841,357.6,2.471,0
41.355446,64.589866,357.6,2.484,0
41.355328,64.589891,357.6,2.497,0
41.35521,64.589915,356.9,2.51,-1
41.355092,64.58994,355.8,2.524,-2
41.354975,64.589964,354.7,2.537,-3
41.354857,64.589989,353.6,2.55,-4
41.354739,64.590014,352.4,2.564,-5
41.354621,64.590038,351.2,2.577,-6
41.354503,64.590063,350,2.59,-7
41.354385,64.590087,348.9,2.603,-8
41.354267,64.590112,347.7,2.617,-9
41.354149,64.590137,346.5,2.63,-9
41.354031,64.590161,345.4,2.643,-9
41.353914,64.590186,344.3,2.657,-9
41.353796,64.590211,344.6,2.67,-7
41.353678,64.590235,344.9,2.683,-6
41.35356,64.59026,345.1,2.696,-5
41.353442,64.590284,345.3,2.71,-3
41.353324,64.590309,345.5,2.723,-2
41.353206,64.590334,345.6,2.736,-1
41.353088,64.590358,345.7,2.75,0
41.35297,64.590383,345.8,2.763,1
41.352853,64.590408,345.9,2.776,1
41.352735,64.590432,345.9,2.789,1
41.352617,64.590457,345.9,2.803,1
41.352499,64.590481,345.8,2.816,0
41.352381,64.590506,345.8,2.829,0
41.352263,64.590531,345.9,2.843,0
41.352145,64.590555,345.9,2.856,0
41.352027,64.59058,346.1,2.869,0
41.35191,64.590605,346.2,2.882,0
41.351792,64.590629,346.3,2.896,0
41.351674,64.590654,346.4,2.909,1
41.351556,64.590678,346.5,2.922,1
41.351438,64.590703,346.6,2.936,1
41.35132,64.590728,346.8,2.949,1
41.351202,64.590752,346.9,2.962,1
41.351084,64.590777,347.1,2.975,1
41.350966,64.590801,347.3,2.989,1
41.350849,64.590826,347.5,3.002,1
41.350731,64.590851,347.6,3.015,1
41.350613,64.590875,347.8,3.029,1
41.350495,64.5909,348,3.042,1
41.350377,64.590925,348.2,3.055,1
41.350259,64.590949,348.4,3.068,1
41.350141,64.590974,348.7,3.082,1
41.350023,64.590998,349,3.095,2
41.349906,64.591023,349.2,3.108,2
41.349788,64.591048,349.5,3.121,2
41.34967,64.591072,349.9,3.135,2
41.349552,64.591097,350.3,3.148,2
41.349434,64.591122,350.7,3.161,2
41.349316,64.591146,351.1,3.175,2
41.349198,64.591171,351.4,3.188,3
41.34908,64.591195,351.9,3.201,3
41.348962,64.59122,352.8,3.214,3
41.348845,64.591245,353.7,3.228,4
41.348727,64.591269,354.5,3.241,4
41.348609,64.591294,355.4,3.254,5
41.348491,64.591318,356.3,3.268,5
41.348373,64.591343,357.2,3.281,6
41.348255,64.591368,358,3.294,6
41.348137,64.591392,358.6,3.307,6
41.348019,64.591417,359.3,3.321,6
41.347902,64.591442,360,3.334,6
41.347784,64.591466,360.7,3.347,6
41.347666,64.591491,361.4,3.361,6
41.347548,64.591515,362.1,3.374,5
41.34743,64.59154,362.8,3.387,5
