Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
25.61466,28.61012,200.9,0,
25.614463,28.610451,201.5,0.04,
25.614267,28.610783,202.3,0.08,
25.61407,28.611114,202.8,0.119,
25.613873,28.611445,204.2,0.159,
25.613677,28.611777,206,0.199,
25.61348,28.612108,208.5,0.239,5
25.613283,28.612439,210.6,0.279,5
25.613087,28.61277,211.8,0.319,5
25.61289,28.613102,211.6,0.358,3
25.612693,28.613433,209.5,0.398,-1
25.612497,28.613764,207.8,0.438,-3
25.6123,28.614096,206.1,0.478,-5
25.612103,28.614427,204,0.518,-5
25.611907,28.614758,201.7,0.557,-5
25.61171,28.61509,200.2,0.597,-5
25.611514,28.615421,199.3,0.637,-4
25.611317,28.615752,198.9,0.677,-2
25.61112,28.616084,200,0.717,0
25.610924,28.616415,203.1,0.756,3
25.610727,28.616746,205.3,0.796,5
25.61053,28.617077,204,0.836,3
25.610334,28.617409,202.5,0.876,0
25.610137,28.61774,202.7,0.916,-2
25.60994,28.618071,203.4,0.956,-1
25.609744,28.618403,204.7,0.995,2
25.609547,28.618734,205,1.035,2
25.60935,28.619065,205,1.075,1
25.609154,28.619396,205,1.115,0
25.608957,28.619728,204.5,1.155,0
25.60876,28.620059,204.5,1.194,0
25.608563,28.62039,206.2,1.234,1
25.608367,28.620722,209.1,1.274,4
25.60817,28.621053,211.7,1.314,6
25.607973,28.621384,213.1,1.354,6
25.607777,28.621715,212.3,1.394,3
25.60758,28.622047,211.5,1.433,0
25.607383,28.622378,211.7,1.473,-1
25.607187,28.622709,212,1.513,0
25.60699,28.62304,212.3,1.553,1
25.606793,28.623372,212.5,1.593,1
25.606597,28.623703,211.7,1.632,0
25.6064,28.624034,210.5,1.672,-2
25.606203,28.624366,209.4,1.712,-3
25.606007,28.624697,208.8,1.752,-2
25.60581,28.625028,209.6,1.792,-1
25.605613,28.625359,212.3,1.832,2
25.605417,28.625691,215.7,1.871,6
25.60522,28.626022,218.7,1.911,8
25.605023,28.626353,221.1,1.951,7
25.604827,28.626684,222.3,1.991,5
25.60463,28.627016,222.8,2.031,3
25.604433,28.627347,221.2,2.07,0
25.604237,28.627678,219.4,2.11,-2
25.60404,28.628009,219.5,2.15,-3
25.603843,28.628341,219.9,2.19,-1
25.603646,28.628672,222.5,2.23,3
25.60345,28.629003,225.1,2.269,5
25.603253,28.629334,226.7,2.309,6
25.603056,28.629666,227.7,2.349,4
25.60286,28.629997,228.3,2.389,3
25.602663,28.630328,228.9,2.429,2
25.602466,28.630659,229,2.469,1
25.60227,28.630991,229.1,2.508,1
25.602073,28.631322,229.5,2.548,0
25.601876,28.631653,229.8,2.588,1
25.601679,28.631984,229.9,2.628,1
25.601483,28.632316,229.8,2.668,0
25.601286,28.632647,229.6,2.707,0
25.601089,28.632978,229.5,2.747,0
25.600893,28.633309,229.7,2.787,0
25.600696,28.633641,229.8,2.827,0
25.600499,28.633972,229.9,2.867,0
25.600303,28.634303,230,2.907,0
25.600106,28.634634,229.9,2.946,0
25.599909,28.634966,229.8,2.986,0
25.599712,28.635297,229.3,3.026,-1
25.599516,28.635628,227.1,3.066,-2
25.599319,28.635959,225.3,3.106,-4
25.599122,28.636291,224.6,3.145,-4
25.598926,28.636622,224.2,3.185,-2
25.598729,28.636953,226.8,3.225,1
25.598532,28.637284,228.8,3.265,4
25.598335,28.637615,228.5,3.305,4
25.598139,28.637947,228,3.344,1
25.597942,28.638278,228.2,3.384,0
25.597745,28.638609,228.7,3.424,0
25.597549,28.63894,229.8,3.464,2
25.597352,28.639272,230.3,3.504,2
25.597155,28.639603,229.2,3.544,0
25.596958,28.639934,226.9,3.583,-2
25.596762,28.640265,226.1,3.623,-4
25.596565,28.640596,228.4,3.663,-1
25.596368,28.640928,229.7,3.703,2
25.596172,28.641259,229.9,3.743,3
25.595975,28.64159,229.7,3.782,1
25.595778,28.641921,229,3.822,-1
25.595581,28.642252,228.6,3.862,-1
25.595385,28.642584,228.5,3.902,-1
25.595188,28.642915,228.3,3.942,-1
25.594991,28.643246,227.8,3.982,-1
25.594795,28.643577,227.5,4.021,-1
25.594598,28.643908,227.5,4.061,-1
25.594401,28.64424,227.3,4.101,0
25.594204,28.644571,227.1,4.141,0
25.594008,28.644902,226.8,4.181,-1
25.593811,28.645233,226.4,4.22,-1
25.593614,28.645565,226.1,4.26,-1
25.593417,28.645896,226.5,4.3,0
25.593221,28.646227,227.4,4.34,1
25.593024,28.646558,228.9,4.38,2
25.592827,28.646889,230.3,4.419,3
25.592631,28.64722,232.8,4.459,4
25.592434,28.647552,236.3,4.499,6
25.592237,28.647883,237.5,4.539,6
25.59204,28.648214,237.9,4.579,4
25.591844,28.648545,235.7,4.619,-1
25.591647,28.648876,233.7,4.658,-3
25.59145,28.649208,232.1,4.698,-5
25.591253,28.649539,231,4.738,-4
25.591057,28.64987,229.9,4.778,-3
25.59086,28.650201,229.4,4.818,-2
25.590663,28.650532,229,4.857,-2
25.590466,28.650864,228.6,4.897,-1
25.59027,28.651195,228.1,4.937,-1
25.590073,28.651526,227.1,4.977,-2
25.589876,28.651857,225.3,5.017,-3
25.589679,28.652188,224.2,5.057,-3
25.589483,28.652519,222.2,5.096,-4
25.589286,28.652851,219.5,5.136,-5
25.589089,28.653182,216.9,5.176,-6
25.588892,28.653513,214.4,5.216,-7
25.588696,28.653844,212,5.256,-6
25.588499,28.654175,209.5,5.295,-6
25.588302,28.654506,206.9,5.335,-6
25.588105,28.654838,204.2,5.375,-7
25.587909,28.655169,202,5.415,-6
25.587712,28.6555,200.9,5.455,-5
25.587515,28.655831,200.7,5.495,-3
25.587318,28.656162,201.2,5.534,-1
25.587122,28.656493,200.9,5.574,0
25.586925,28.656825,199.9,5.614,-1
25.586728,28.657156,199.2,5.654,-2
25.586531,28.657487,197.8,5.694,-3
25.586335,28.657818,195.9,5.733,-3
25.586138,28.658149,194.1,5.773,-4
25.585941,28.65848,192.4,5.813,-5
25.585744,28.658812,190.8,5.853,-4
25.585548,28.659143,190.2,5.893,-3
25.585351,28.659474,190.8,5.932,-1
25.585154,28.659805,191,5.972,0
25.584957,28.660136,192.4,6.012,2
25.584761,28.660467,194.2,6.052,3
25.584564,28.660798,195.8,6.092,4
25.584367,28.66113,196.9,6.132,4
25.58417,28.661461,197.7,6.171,3
25.583974,28.661792,198.2,6.211,2
25.583777,28.662123,199,6.251,2
25.58358,28.662454,200.4,6.291,2
25.583383,28.662785,200.6,6.331,2
25.583186,28.663117,200.6,6.37,1
25.58299,28.663448,201,6.41,0
25.582793,28.663779,201.3,6.45,1
25.582596,28.66411,202.1,6.49,1
25.582399,28.664441,201.7,6.53,1
25.582203,28.664772,200.7,6.57,-1
25.582006,28.665103,200.2,6.609,-2
25.581809,28.665434,200,6.649,-1
25.581612,28.665766,200.5,6.689,0
25.581415,28.666097,201,6.729,1
25.581219,28.666428,200.8,6.769,1
25.581022,28.666759,200.9,6.808,0
25.580825,28.66709,201,6.848,0
25.580628,28.667421,201.5,6.888,1
25.580432,28.667752,202.6,6.928,1
25.580235,28.668084,203.2,6.968,2
25.580038,28.668415,204,7.007,2
25.579841,28.668746,204.6,7.047,2
25.579644,28.669077,204.6,7.087,1
25.579448,28.669408,204.4,7.127,0
25.579251,28.669739,204.5,7.167,0
25.579054,28.67007,204.8,7.207,0
25.578857,28.670401,205.4,7.246,1
25.578661,28.670732,206.2,7.286,1
25.578464,28.671064,207.1,7.326,2
25.578267,28.671395,208.4,7.366,3
25.57807,28.671726,209.1,7.406,2
25.577873,28.672057,209.4,7.445,2
25.577677,28.672388,209.7,7.485,1
25.57748,28.672719,209.4,7.525,0
25.577283,28.67305,209.3,7.565,0
25.577086,28.673381,209.2,7.605,0
25.576889,28.673712,209,7.645,0
25.576693,28.674044,209.5,7.684,0
25.576496,28.674375,210.2,7.724,1
25.576299,28.674706,211.3,7.764,2
25.576102,28.675037,212,7.804,2
25.575905,28.675368,212,7.844,2
25.575709,28.675699,212,7.883,1
25.575512,28.67603,213,7.923,1
25.575315,28.676361,214,7.963,2
25.575118,28.676692,214.7,8.003,2
25.574921,28.677023,215.7,8.043,2
25.574725,28.677355,217,8.082,3
25.574528,28.677686,218.2,8.122,3
25.574331,28.678017,218.8,8.162,3
25.574134,28.678348,219,8.202,2
25.573937,28.678679,216.6,8.242,-1
25.573741,28.67901,213.1,8.282,-5
25.573544,28.679341,209.5,8.321,-8
25.573347,28.679672,206.1,8.361,-9
25.57315,28.680003,202.2,8.401,-9
25.572953,28.680334,198.9,8.441,-9
25.572757,28.680665,196.6,8.481,-8
25.57256,28.680997,195.3,8.52,-6
25.572363,28.681328,193.9,8.56,-4
25.572166,28.681659,192.2,8.6,-4
25.571969,28.68199,191.1,8.64,-4
25.571773,28.682321,191.1,8.68,-2
25.571576,28.682652,190.7,8.72,-1
25.571379,28.682983,189.8,8.759,-1
25.571182,28.683314,189.1,8.799,-2
25.570985,28.683645,188.6,8.839,-2
25.570789,28.683976,187.9,8.879,-2
25.570592,28.684307,187.2,8.919,-2
25.570395,28.684638,187.2,8.958,-1
25.570198,28.684969,187.6,8.998,0
25.570001,28.685301,188,9.038,1
25.569804,28.685632,187.5,9.078,0
25.569608,28.685963,187,9.118,0
25.569411,28.686294,185.7,9.158,-2
25.569214,28.686625,184.1,9.197,-3
25.569017,28.686956,183.3,9.237,-3
25.56882,28.687287,183,9.277,-2
25.568623,28.687618,183,9.317,-1
25.568427,28.687949,183.2,9.357,0
25.56823,28.68828,183.4,9.396,0
25.568033,28.688611,183.2,9.436,0
25.567836,28.688942,182.9,9.476,0
25.567639,28.689273,183,9.516,0
25.567443,28.689604,183.4,9.556,0
25.567246,28.689935,184,9.595,1
25.567049,28.690266,183.3,9.635,0
25.566852,28.690597,181.9,9.675,-1
25.566655,28.690929,180.8,9.715,-3
25.566458,28.69126,180.5,9.755,-2
25.566262,28.691591,180.2,9.795,-1
25.566065,28.691922,179.9,9.834,-1
25.565868,28.692253,180.1,9.874,0
25.565671,28.692584,181.6,9.914,1
25.565474,28.692915,182.7,9.954,2
25.565277,28.693246,183.2,9.994,3
25.565081,28.693577,182.9,10.033,1
25.564884,28.693908,182.5,10.073,0
25.564687,28.694239,181.9,10.113,-1
25.56449,28.69457,180,10.153,-2
