Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
52.06748,-2.84812,67.1,0,
52.067554,-2.848074,67.2,0.009,
52.067628,-2.848027,67.3,0.018,
52.067702,-2.847981,67.3,0.026,
52.067776,-2.847934,67.3,0.035,
52.06785,-2.847888,67.3,0.044,
52.067924,-2.847842,67.3,0.053,0
52.067998,-2.847795,67.3,0.062,0
52.068072,-2.847749,67.2,0.071,0
52.068146,-2.847702,67.2,0.079,0
52.06822,-2.847656,67.1,0.088,0
52.068294,-2.847609,67,0.097,0
52.068368,-2.847563,66.9,0.106,0
52.068443,-2.847517,66.8,0.115,0
52.068517,-2.84747,66.8,0.124,0
52.068591,-2.847424,66.7,0.132,-1
52.068665,-2.847377,66.6,0.141,-1
52.068739,-2.847331,66.5,0.15,-1
52.068813,-2.847285,66.4,0.159,-1
52.068887,-2.847238,66.3,0.168,-1
52.068961,-2.847192,66.1,0.177,-1
52.069035,-2.847145,66,0.185,-1
52.069109,-2.847099,65.8,0.194,-1
52.069183,-2.847052,65.6,0.203,-1
52.069257,-2.847006,65.4,0.212,-1
52.069331,-2.84696,65.2,0.221,-2
52.069405,-2.846913,64.9,0.23,-2
52.069479,-2.846867,64.7,0.238,-2
52.069553,-2.84682,64.4,0.247,-2
52.069627,-2.846774,64.2,0.256,-2
52.069701,-2.846728,64,0.265,-2
52.069775,-2.846681,63.9,0.274,-2
52.069849,-2.846635,63.8,0.283,-2
52.069923,-2.846588,63.7,0.291,-2
52.069997,-2.846542,63.6,0.3,-2
52.070071,-2.846495,63.5,0.309,-2
52.070145,-2.846449,63.4,0.318,-2
52.07022,-2.846403,63.2,0.327,-2
52.070294,-2.846356,63.1,0.336,-2
52.070368,-2.84631,63,0.344,-2
52.070442,-2.846263,63,0.353,-1
52.070516,-2.846217,63,0.362,-1
52.07059,-2.846171,63,0.371,-1
52.070664,-2.846124,63,0.38,-1
52.070738,-2.846078,63.1,0.389,-1
52.070812,-2.846031,63.1,0.397,-1
52.070886,-2.845985,63.2,0.406,0
52.07096,-2.845938,63.3,0.415,0
52.071034,-2.845892,63.3,0.424,0
52.071108,-2.845846,63.5,0.433,0
52.071182,-2.845799,63.7,0.442,1
52.071256,-2.845753,64,0.45,1
52.07133,-2.845706,64.2,0.459,1
52.071404,-2.84566,64.5,0.468,1
52.071478,-2.845614,64.8,0.477,2
52.071552,-2.845567,65.1,0.486,2
52.071626,-2.845521,65.4,0.495,2
52.0717,-2.845474,65.8,0.503,3
52.071774,-2.845428,66,0.512,3
52.071848,-2.845381,65.9,0.521,2
52.071922,-2.845335,65.7,0.53,2
52.071997,-2.845289,65.6,0.539,2
52.072071,-2.845242,65.4,0.548,2
52.072145,-2.845196,65.3,0.556,1
52.072219,-2.845149,65.1,0.565,1
52.072293,-2.845103,65,0.574,0
52.072367,-2.845056,64.8,0.583,0
52.072441,-2.84501,64.7,0.592,0
52.072515,-2.844964,64.7,0.601,-1
52.072589,-2.844917,64.6,0.609,-1
52.072663,-2.844871,64.6,0.618,-1
52.072737,-2.844824,64.5,0.627,-1
52.072811,-2.844778,64.5,0.636,-1
52.072885,-2.844732,64.4,0.645,-1
52.072959,-2.844685,64.4,0.654,-1
52.073033,-2.844639,64.3,0.662,-1
52.073107,-2.844592,64.3,0.671,-1
52.073181,-2.844546,64.4,0.68,-1
52.073255,-2.844499,64.7,0.689,0
52.073329,-2.844453,64.9,0.698,0
52.073403,-2.844407,65.1,0.707,0
52.073477,-2.84436,65.3,0.715,1
52.073551,-2.844314,65.5,0.724,1
52.073625,-2.844267,65.6,0.733,1
52.073699,-2.844221,65.8,0.742,1
52.073773,-2.844174,65.9,0.751,1
52.073848,-2.844128,66.2,0.76,2
52.073922,-2.844082,66.7,0.768,2
52.073996,-2.844035,67.3,0.777,3
52.07407,-2.843989,67.8,0.786,3
52.074144,-2.843942,68.3,0.795,3
52.074218,-2.843896,68.9,0.804,4
52.074292,-2.843849,69.4,0.813,4
52.074366,-2.843803,70,0.821,4
52.07444,-2.843757,70.5,0.83,5
52.074514,-2.84371,71,0.839,5
52.074588,-2.843664,71.5,0.848,5
52.074662,-2.843617,72,0.857,6
52.074736,-2.843571,72.6,0.866,6
52.07481,-2.843524,73.1,0.874,6
52.074884,-2.843478,73.7,0.883,6
52.074958,-2.843432,74.2,0.892,6
52.075032,-2.843385,74.8,0.901,6
52.075106,-2.843339,75.4,0.91,6
52.07518,-2.843292,75.9,0.919,6
52.075254,-2.843246,76.2,0.927,6
52.075328,-2.843199,76.4,0.936,6
52.075402,-2.843153,76.6,0.945,5
52.075476,-2.843107,76.8,0.954,5
52.07555,-2.84306,77,0.963,5
52.075624,-2.843014,77.2,0.972,4
52.075698,-2.842967,77.5,0.98,4
52.075773,-2.842921,77.7,0.989,4
52.075847,-2.842874,77.9,0.998,3
52.075921,-2.842828,78.1,1.007,3
52.075995,-2.842782,78.3,1.016,3
52.076069,-2.842735,78.5,1.025,3
52.076143,-2.842689,78.7,1.033,2
52.076217,-2.842642,78.9,1.042,2
52.076291,-2.842596,79.1,1.051,2
52.076365,-2.842549,79.2,1.06,2
52.076439,-2.842503,79.4,1.069,2
52.076513,-2.842457,79.5,1.078,2
52.076587,-2.84241,79.6,1.086,2
52.076661,-2.842364,79.7,1.095,2
52.076735,-2.842317,79.8,1.104,2
52.076809,-2.842271,79.9,1.113,2
